Region,Country,Year,Population,Area (sq. km.),Density (persons per sq. km.)
Less Developed Countries (LDCs),Aggregated,2020,6408592395,80926691,79.2
Less Developed Countries (LDCs),Afghanistan,2020,36643815,652230,56.2
Less Developed Countries (LDCs),Algeria,2020,42972878,2381740,18
Less Developed Countries (LDCs),American Samoa,2020,49437,198,250
Less Developed Countries (LDCs),Angola,2020,32522339,1246700,26.1
Less Developed Countries (LDCs),Anguilla,2020,18090,91,198.8
Less Developed Countries (LDCs),Antigua and Barbuda,2020,98179,443,221.8
Less Developed Countries (LDCs),Argentina,2020,45479118,2736690,16.6
Less Developed Countries (LDCs),Armenia,2020,3021324,28203,107.1
Less Developed Countries (LDCs),Aruba,2020,119428,180,663.5
Less Developed Countries (LDCs),Azerbaijan,2020,10205810,82629,123.5
Less Developed Countries (LDCs),"Bahamas, The",2020,337721,10010,33.7
Less Developed Countries (LDCs),Bahrain,2020,1505003,760,1980.3
Less Developed Countries (LDCs),Bangladesh,2020,162650853,130170,1249.5
Less Developed Countries (LDCs),Barbados,2020,294560,430,685
Less Developed Countries (LDCs),Belize,2020,399598,22806,17.5
Less Developed Countries (LDCs),Benin,2020,12864634,110622,116.3
Less Developed Countries (LDCs),Bhutan,2020,782318,38394,20.4
Less Developed Countries (LDCs),Bolivia,2020,11639909,1083301,10.7
Less Developed Countries (LDCs),Botswana,2020,2317233,566730,4.1
Less Developed Countries (LDCs),Brazil,2020,211715973,8358140,25.3
Less Developed Countries (LDCs),Brunei,2020,464478,5265,88.2
Less Developed Countries (LDCs),Burkina Faso,2020,20835401,273800,76.1
Less Developed Countries (LDCs),Burma,2020,56590071,653508,86.6
Less Developed Countries (LDCs),Burundi,2020,11865821,25680,462.1
Less Developed Countries (LDCs),Cabo Verde,2020,583255,4033,144.6
Less Developed Countries (LDCs),Cambodia,2020,16926984,176515,95.9
Less Developed Countries (LDCs),Cameroon,2020,27744989,472710,58.7
Less Developed Countries (LDCs),Cayman Islands,2020,61944,264,234.6
Less Developed Countries (LDCs),Central African Republic,2020,5990855,622984,9.6
Less Developed Countries (LDCs),Chad,2020,16877357,1259200,13.4
Less Developed Countries (LDCs),Chile,2020,18186770,743812,24.5
Less Developed Countries (LDCs),China,2020,1394015977,9326410,149.5
Less Developed Countries (LDCs),Colombia,2020,49084841,1038700,47.3
Less Developed Countries (LDCs),Comoros,2020,846281,2235,378.6
Less Developed Countries (LDCs),Congo (Brazzaville),2020,5293070,341500,15.5
Less Developed Countries (LDCs),Congo (Kinshasa),2020,101780263,2267048,44.9
Less Developed Countries (LDCs),Cook Islands,2020,8574,236,36.3
Less Developed Countries (LDCs),Costa Rica,2020,5097988,51060,99.8
Less Developed Countries (LDCs),Cote d'Ivoire,2020,27481086,318003,86.4
Less Developed Countries (LDCs),Cuba,2020,11059062,109820,100.7
Less Developed Countries (LDCs),Curacao,2020,151345,444,340.9
Less Developed Countries (LDCs),Cyprus,2020,1266676,9241,137.1
Less Developed Countries (LDCs),Djibouti,2020,921804,23180,39.8
Less Developed Countries (LDCs),Dominica,2020,74243,751,98.9
Less Developed Countries (LDCs),Dominican Republic,2020,10499707,48320,217.3
Less Developed Countries (LDCs),Ecuador,2020,16904867,276841,61.1
Less Developed Countries (LDCs),Egypt,2020,104124440,995450,104.6
Less Developed Countries (LDCs),El Salvador,2020,6481102,20721,312.8
Less Developed Countries (LDCs),Equatorial Guinea,2020,836178,28051,29.8
Less Developed Countries (LDCs),Eritrea,2020,6081196,101000,60.2
Less Developed Countries (LDCs),Eswatini,2020,1104479,17204,64.2
Less Developed Countries (LDCs),Ethiopia,2020,108113150,1096570,98.6
Less Developed Countries (LDCs),Fiji,2020,935974,18274,51.2
Less Developed Countries (LDCs),French Polynesia,2020,295121,3827,77.1
Less Developed Countries (LDCs),Gabon,2020,2230908,257667,8.7
Less Developed Countries (LDCs),"Gambia, The",2020,2173999,10120,214.8
Less Developed Countries (LDCs),Gaza Strip,2020,1918221,360,5328.4
Less Developed Countries (LDCs),Georgia,2020,4930030,69700,70.7
Less Developed Countries (LDCs),Ghana,2020,29340248,227533,128.9
Less Developed Countries (LDCs),Grenada,2020,113094,344,328.8
Less Developed Countries (LDCs),Guam,2020,168485,544,310
Less Developed Countries (LDCs),Guatemala,2020,17153288,107159,160.1
Less Developed Countries (LDCs),Guinea,2020,12527440,245717,51
Less Developed Countries (LDCs),Guinea-Bissau,2020,1927104,28120,68.5
Less Developed Countries (LDCs),Guyana,2020,750204,196849,3.8
Less Developed Countries (LDCs),Haiti,2020,11067777,27560,401.6
Less Developed Countries (LDCs),Honduras,2020,9235340,111890,82.5
